Order_ID,Order_Date,Customer_Name,City,Product,Category,Quantity,Unit_Price,Payment_Method,Discount,Rating
1001,2024-06-12,Priya,Chennai,Keyboard,Electronics,3,1200,Card,2000,5
1002,2024-01-29,Sneha,Mumbai,Phone,Electronics,4,30000,UPI,500,4
1003,2024-01-07,Ravi,Delhi,Monitor,Electronics,2,15000,Card,0,4
1004,2024-03-11,Ravi,Chennai,Monitor,Electronics,1,15000,UPI,0,5
1005,2024-03-03,Neha,Bangalore,Laptop,Electronics,3,55000,Net Banking,0,5
1006,2024-02-27,Vikram,Delhi,Monitor,Electronics,5,15000,Net Banking,0,5
1007,2024-02-05,Sita,Hyderabad,Monitor,Electronics,4,15000,Net Banking,1000,3
1008,2024-01-27,Ravi,Pune,Headphones,Electronics,4,2000,UPI,1000,4
1009,2024-06-22,Neha,Chennai,Laptop,Electronics,4,55000,Card,500,3
1010,2024-05-19,Kiran,Mumbai,Printer,Electronics,2,8000,Card,1000,3
1011,2024-01-23,Ravi,Pune,Mouse,Electronics,4,500,UPI,2000,3
1012,2024-05-31,Rahul,Mumbai,Mouse,Electronics,2,500,Card,0,4
1013,2024-04-18,Ravi,Mumbai,Tablet,Electronics,1,25000,Cash,0,4
1014,2024-01-09,Sneha,Pune,Printer,Electronics,3,8000,Net Banking,1000,5
1015,2024-01-08,Ravi,Delhi,Keyboard,Electronics,2,1200,UPI,500,3
1016,2024-01-24,Rahul,Delhi,Headphones,Electronics,1,2000,Card,0,5
1017,2024-02-25,Sita,Delhi,Laptop,Electronics,5,55000,UPI,0,3
1018,2024-02-29,Neha,Delhi,Monitor,Electronics,4,15000,UPI,0,5
1019,2024-05-09,Sneha,Bangalore,Mouse,Electronics,4,500,Cash,2000,5
1020,2024-06-03,Priya,Chennai,Monitor,Electronics,3,15000,Cash,0,4
1021,2024-01-07,Rahul,Delhi,Printer,Electronics,3,8000,UPI,0,3
1022,2024-05-23,Kiran,Chennai,Mouse,Electronics,5,500,Cash,0,5
1023,2024-02-20,Amit,Mumbai,Mouse,Electronics,2,500,Cash,500,4
1024,2024-06-15,Sita,Chennai,Laptop,Electronics,5,55000,Cash,500,5
1025,2024-06-28,Kiran,Bangalore,Mouse,Electronics,1,500,Card,2000,3
1026,2024-05-19,Rahul,Bangalore,Headphones,Electronics,2,2000,UPI,500,5
1027,2024-04-17,Ravi,Bangalore,Mouse,Electronics,4,500,Card,500,3
1028,2024-02-26,Priya,Delhi,Phone,Electronics,2,30000,UPI,1000,5
1029,2024-04-24,Ravi,Bangalore,Mouse,Electronics,1,500,Card,0,5
